กด
เลิศ
เกิด
เคราะห์
ภาค
เลข
เกาะ
โกรธ
เมฆ
เลือด
กก
ก๊ก
กง
ก๊ง
กฎ
โขก
คบ
คิด
คืบ
คาด
เงาะ
จด
จักร
ฉาก
ชอบ
ชัก
ซัก
ดอก
ดัก
ตก
ตาก
อุก
อุป
อก
อด 
เอา
อาบ
ออก
ถูก
ถูก
ทรวด
ทอด
ทุกข์
ธาตุ
ธูป
นิด
นาก
เบิก
แบบ
โบก
ปก
ปิด
ปรก
ประ
ปริก
ผด
ผุ
ผุด
พบ
พก
พด
พลบ
พรต
ฟัด
ภพ
ภาพ
ภาษ
ภูต
มด
มอด
มัก
มัด
มิตร
เมตร
ยก
ยืด
ยุติ
รก
รถ
รส
ลัก
ลัด
ลาด
เลือด
วาด
เวทย์
สด
หด
หาก
หลอก
หลีก
อด
อบ
อวด
ฮอด
ฮุบ
ฮูก
